,name,desc,cr,immunities,resists,conditions,wins,actions,hp,str,dex,con,int,wis,cha,ac,spd
1768,Archmage,Medium Humanoid Neutral,12,,,"Memorized One Spell,Mage Armor,Mind Blank,Chill Shield,Fire Shield",,"Dagger: +5, 1d4+2 Piercing	Cone of Cold (L6): 60ft, 9d8 Cold (CON Save)	Fire Bolt: +10, 120ft, 4d10+0 Fire	Shocking Grasp: +10, 4d8+0 Lightning	Cone of Cold: 60ft, 8d8 Cold (CON Save)	Banish: 60ft, Banished (CHA Save) (If Elemental/​Fiend/​Celestial/​Fey/​Aberration)	Lightning Bolt: 100ft, 8d6 Lightning (DEX Save)	Magic Missile: 120ft, 3d4+3 Force	Mirror Image: Mirror Image	Invisibility: Invisible	Stoneskin: Stoneskin	Mage Armor: Mage Armor	Mind Blank: Mind Blank	Fire Shield: Fire Shield	Chill Shield: Chill Shield	Time Stop: Time Stop	Harm: 60ft, 14d6 Necrotic (CON Save)",42,10,14,12,20,15,16,15,30
1769,Adult Brass Dragon,Huge Dragon Chaotic Good,13,Fire,,"Projectile Catching,Legendary,Legendary Resistance",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +10, 10ft, 2d10+6 Piercing	Claw: +10, 2d6+6 Slashing	Tail: +10, 15ft, 2d8+6 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+6 Bludgeoning (DEX Save)	Breath Weapon: 60ft, 1x (Fire Breath, Sleep Breath)	Fire Breath: 60ft, 13d6 Fire (DEX Save)	Sleep Breath: 60ft, Asleep (CON Save)",70,23,10,21,14,13,17,18,80
1770,Nalfeshnee,Large Fiend Chaotic Evil,13,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility",Death Defying,,"Bite: +9, 5d10+5 Piercing	Claw: +9, 10ft, 3d6+5 Slashing	Horror Nimbus: 15ft, Frightened (WIS Save)	Multiattack: Horror Nimbus, 2 Claw, Bite	Teleport: 120ft, Teleport",80,21,10,22,19,12,15,18,30
1771,Gug,Huge Giant Neutral Evil,12,"Poison,Confusion,Exhaustion,Paralysis,Poisoned",,"Magic Attacks,Legendary,Grappled",,"Multislam: 10ft, 2 Slam, Exhaust	Slam: +11, 10ft, 2d8+8 Bludgeoning	Exhaust: Exhaust	Multistomp: 10ft, 2 Stomp	Stomp: +11, 10ft, 2d12+8 Bludgeoning	Grab: +11, 10ft, Grappled (If Not Grappled)	Throw: 2d12+7 Bludgeoning (If Grappled)	Swallow: Swallowed (If Large) (If Grappled)	Digest: 2d12 Acid (If Swallowed)",101,24,10,25,10,8,14,17,40
1772,Dullahan,Large Fey Lawful Evil,11,"Necrotic,Charmed,Frightened,Exhaustion,DifficultTerrain","Bludgeoning,Piercing,Slashing","Mirrored,Baleful Glare",,"Chill Touch: +6, 120ft, 3d8 Necrotic, Chill Touch	Spine Whip: +7, 10ft, 2d10+4 Slashing, 3d10 Necrotic, Prone (CON Save)	Multiattack: 2 Spine Whip	Seal the Doom: 40ft, Dead (CON Save)	Blight: 30ft, 8d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 64 Necrotic (CON Save, If Plant)	Baleful Glare: 30ft, Baleful Terror (WIS Save)",82,19,18,20,13,15,17,17,60
1773,Dullahan,Large Fey Lawful Evil,11,"Necrotic,Charmed,Frightened,Exhaustion,DifficultTerrain","Bludgeoning,Piercing,Slashing","Mirrored,Baleful Glare,Grappled",Horned Devil,"Chill Touch: +6, 120ft, 3d8 Necrotic, Chill Touch	Spine Whip: +7, 10ft, 2d10+4 Slashing, 3d10 Necrotic, Prone (CON Save)	Multiattack: 2 Spine Whip	Seal the Doom: 40ft, Dead (CON Save)	Blight: 30ft, 8d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 64 Necrotic (CON Save, If Plant)	Baleful Glare: 30ft, Baleful Terror (WIS Save)",82,19,18,20,13,15,17,17,60
1774,Nalfeshnee,Large Fiend Chaotic Evil,13,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility",Death Defying,Djinni,"Bite: +9, 5d10+5 Piercing	Claw: +9, 10ft, 3d6+5 Slashing	Horror Nimbus: 15ft, Frightened (WIS Save)	Multiattack: Horror Nimbus, 2 Claw, Bite	Teleport: 120ft, Teleport",80,21,10,22,19,12,15,18,30
1775,Burning Angle ,Medium Fey Neutral Evil,11,Fire,Radiant,"Radiant Attuned,Heated Body",Roc,"Slam: +7, 1d8+3 Radiant, 8d6 Fire	Multiattack: 2 Slam	Blinding Gaze: 30ft, Blinded (CHA Save)	Deafening Voice: 90ft, Permanently Deaf (CON Save)",83,17,18,18,17,16,26,18,30
1776,Dullahan,Large Fey Lawful Evil,11,"Necrotic,Charmed,Frightened,Exhaustion,DifficultTerrain","Bludgeoning,Piercing,Slashing","Mirrored,Baleful Glare,Mirror Image,Blinded","Horned Devil, Gug","Chill Touch: +6, 120ft, 3d8 Necrotic, Chill Touch	Spine Whip: +7, 10ft, 2d10+4 Slashing, 3d10 Necrotic, Prone (CON Save)	Multiattack: 2 Spine Whip	Seal the Doom: 40ft, Dead (CON Save)	Blight: 30ft, 8d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 64 Necrotic (CON Save, If Plant)	Baleful Glare: 30ft, Baleful Terror (WIS Save)",82,19,18,20,13,15,17,17,60
1777,Nalfeshnee,Large Fiend Chaotic Evil,13,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility",Death Defying,"Djinni, Adult Brass Dragon","Bite: +9, 5d10+5 Piercing	Claw: +9, 10ft, 3d6+5 Slashing	Horror Nimbus: 15ft, Frightened (WIS Save)	Multiattack: Horror Nimbus, 2 Claw, Bite	Teleport: 120ft, Teleport",80,21,10,22,19,12,15,18,30
1778,Dullahan,Large Fey Lawful Evil,11,"Necrotic,Charmed,Frightened,Exhaustion,DifficultTerrain","Bludgeoning,Piercing,Slashing","Mirrored,Baleful Glare","Horned Devil, Gug, Abominable Beauty","Chill Touch: +6, 120ft, 3d8 Necrotic, Chill Touch	Spine Whip: +7, 10ft, 2d10+4 Slashing, 3d10 Necrotic, Prone (CON Save)	Multiattack: 2 Spine Whip	Seal the Doom: 40ft, Dead (CON Save)	Blight: 30ft, 8d8 Necrotic (CON Save, If Not  Undead,  Construct,  Plant), 64 Necrotic (CON Save, If Plant)	Baleful Glare: 30ft, Baleful Terror (WIS Save)",82,19,18,20,13,15,17,17,60
1779,Planetar,Large Celestial Lawful Good,16,"Charmed,Exhaustion,Frightened,Deception","Bludgeoning,Piercing,Slashing,Radiant,Spell,MagicalAbility,Fire",Fire Attuned,,"Greatsword: +11, 4d6+7 Fire, 5d8 Radiant	Multiattack: 2 Greatsword	Insect Plague: 300ft, 4d10 Fire (CON Save)	Flame Strike: 60ft, 4d6 Radiant (DEX Save), 4d6 Fire (DEX Save)	Blade Barrier: 90ft, 6d10 Fire (DEX Save)	Invisibility: Invisible",94,24,20,24,19,22,25,19,120
1780,Adult Red Dragon,Huge Dragon Chaotic Evil,17,Fire,,"Diseased,Legendary,Legendary Resistance",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +13, 10ft, 2d10+8 Piercing, 2d6 Fire, The Plague (CON Save)	Claw: +13, 2d6+8 Slashing	Tail: +13, 15ft, 2d8+8 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+8 Bludgeoning (DEX Save)	Fire Breath: 60ft, 18d6 Fire (DEX Save)",96,27,10,25,16,13,21,19,80
1781,Adult Bronze Dragon,Huge Dragon Lawful Good,15,Lightning,,"Starts Invisibile,Legendary,Legendary Resistance,Greater Invisible",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +11, 10ft, 2d10+7 Piercing	Claw: +11, 2d6+7 Slashing	Tail: +11, 15ft, 2d8+7 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+7 Bludgeoning (DEX Save)	Breath Weapon: 90ft, 1x (2 Lightning Breath, Repulsion Breath)	Lightning Breath: 90ft, 12d10 Lightning (DEX Save)	Repulsion Breath: 35ft, ",107,25,10,23,16,15,19,19,80
1782,Frazetta's Dream,Large Fiend Chaotic Evil,16,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility","Starts Invisibile,Greater Invisible",,"Parry: +5 to AC vs 1 Attack, Reaction	Longsword: +8, 2d8+4 Slashing	Tail: +8, 10ft, 2d10+4 Bludgeoning, Grappled & Restrained (If Medium)	Tail Squeeze: +8, 10ft, 2d10+4 Bludgeoning (If Grappled & Restrained)	Multiattack: Tail, 6 Longsword	Multisqueeze: Tail Squeeze, 6 Longsword (If Grappled & Restrained)	Teleport: 120ft, Teleport",87,18,20,20,18,16,20,18,40
1783,Adult Black Dragon,Huge Dragon Chaotic Evil,14,Acid,,"Parrier,Legendary,Legendary Resistance",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +10, 10ft, 2d10+6 Piercing, 1d8 Acid	Claw: +10, 2d6+6 Slashing	Tail: +10, 15ft, 2d8+6 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+6 Bludgeoning (DEX Save)	Acid Breath: 60ft, 12d8 Acid (DEX Save)	Parry: +5 to AC vs 1 Attack, Reaction",95,23,14,21,14,13,17,19,80
1784,Adult Blue Dragon,Huge Dragon Lawful Evil,16,Lightning,,"Regenerator,Legendary,Legendary Resistance",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +11, 10ft, 2d10+7 Piercing, 1d10 Lightning	Claw: +11, 2d6+7 Slashing	Tail: +11, 15ft, 2d8+7 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+7 Bludgeoning (DEX Save)	Lightning Breath: 90ft, 12d10 Lightning (DEX Save)",105,25,10,23,16,15,19,19,80
1785,Iron Golem,Large Construct Unaligned,16,"Poison,Psychic,Charmed,Exhaustion,Frightened,Paralyzed,Petrified,Poisoned,Polymorph","Bludgeoning,Piercing,Slashing","Fan Favorite,Weakened",,"Poison Breath: 15ft, 10d8 Poison (CON Save)	Slam: +12, 3d8+7 Bludgeoning	Sword: +12, 10ft, 3d10+7 Slashing	Multiattack: 10ft, 2x (Slam, Sword)",98,24,9,20,3,11,1,20,30
1786,Adult Silver Dragon,Huge Dragon Lawful Good,16,Cold,,"Power Attacker,Legendary,Legendary Resistance",,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +7, 10ft, 2d10+41 Piercing	Claw: +7, 2d6+41 Slashing	Tail: +7, 15ft, 2d8+41 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+8 Bludgeoning (DEX Save)	Breath Weapon: 60ft, 1x (Cold Breath, Paralyzing Breath)	Cold Breath: 60ft, 13d8 Cold (CON Save)	Paralyzing Breath: 60ft, Paralyzed (CON Save)",121,27,10,25,16,13,21,19,80
1787,Adult Silver Dragon,Huge Dragon Lawful Good,16,Cold,,"Power Attacker,Legendary,Legendary Resistance",Adult Green Dragon,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +7, 10ft, 2d10+41 Piercing	Claw: +7, 2d6+41 Slashing	Tail: +7, 15ft, 2d8+41 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+8 Bludgeoning (DEX Save)	Breath Weapon: 60ft, 1x (Cold Breath, Paralyzing Breath)	Cold Breath: 60ft, 13d8 Cold (CON Save)	Paralyzing Breath: 60ft, Paralyzed (CON Save)",121,27,10,25,16,13,21,19,80
1788,Adult Bronze Dragon,Huge Dragon Lawful Good,15,Lightning,,"Starts Invisibile,Legendary,Legendary Resistance,Greater Invisible",Androsphinx,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +11, 10ft, 2d10+7 Piercing	Claw: +11, 2d6+7 Slashing	Tail: +11, 15ft, 2d8+7 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+7 Bludgeoning (DEX Save)	Breath Weapon: 90ft, 1x (2 Lightning Breath, Repulsion Breath)	Lightning Breath: 90ft, 12d10 Lightning (DEX Save)	Repulsion Breath: 35ft, ",107,25,10,23,16,15,19,19,80
1789,Adult Black Dragon,Huge Dragon Chaotic Evil,14,Acid,,"Parrier,Legendary,Legendary Resistance",Dullahan,"Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +10, 10ft, 2d10+6 Piercing, 1d8 Acid	Claw: +10, 2d6+6 Slashing	Tail: +10, 15ft, 2d8+6 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+6 Bludgeoning (DEX Save)	Acid Breath: 60ft, 12d8 Acid (DEX Save)	Parry: +5 to AC vs 1 Attack, Reaction",95,23,14,21,14,13,17,19,80
1790,Frazetta's Dream,Large Fiend Chaotic Evil,16,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility","Starts Invisibile,Greater Invisible",Dragon Turtle,"Parry: +5 to AC vs 1 Attack, Reaction	Longsword: +8, 2d8+4 Slashing	Tail: +8, 10ft, 2d10+4 Bludgeoning, Grappled & Restrained (If Medium)	Tail Squeeze: +8, 10ft, 2d10+4 Bludgeoning (If Grappled & Restrained)	Multiattack: Tail, 6 Longsword	Multisqueeze: Tail Squeeze, 6 Longsword (If Grappled & Restrained)	Teleport: 120ft, Teleport",87,18,20,20,18,16,20,18,40
1791,Frazetta's Dream,Large Fiend Chaotic Evil,16,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility",Starts Invisibile,"Dragon Turtle, Adult Red Dragon","Parry: +5 to AC vs 1 Attack, Reaction	Longsword: +8, 2d8+4 Slashing	Tail: +8, 10ft, 2d10+4 Bludgeoning, Grappled & Restrained (If Medium)	Tail Squeeze: +8, 10ft, 2d10+4 Bludgeoning (If Grappled & Restrained)	Multiattack: Tail, 6 Longsword	Multisqueeze: Tail Squeeze, 6 Longsword (If Grappled & Restrained)	Teleport: 120ft, Teleport",87,18,20,20,18,16,20,18,40
1792,Adult Silver Dragon,Huge Dragon Lawful Good,16,Cold,,"Power Attacker,Legendary,Legendary Resistance","Adult Green Dragon, Planetar","Multiattack: 10ft, Frightful Presence, Bite, 2 Claw	Bite: +7, 10ft, 2d10+41 Piercing	Claw: +7, 2d6+41 Slashing	Tail: +7, 15ft, 2d8+41 Bludgeoning	Frightful Presence: 120ft, Frightened (WIS Save)	Wing Attack: 2d6+8 Bludgeoning (DEX Save)	Breath Weapon: 60ft, 1x (Cold Breath, Paralyzing Breath)	Cold Breath: 60ft, 13d8 Cold (CON Save)	Paralyzing Breath: 60ft, Paralyzed (CON Save)",121,27,10,25,16,13,21,19,80
1793,Frazetta's Dream,Large Fiend Chaotic Evil,16,"Poison,Poisoned","Bludgeoning,Piercing,Slashing,Cold,Fire,Lightning,Spell,MagicalAbility","Starts Invisibile,Greater Invisible","Dragon Turtle, Adult Red Dragon, Adult Black Dragon","Parry: +5 to AC vs 1 Attack, Reaction	Longsword: +8, 2d8+4 Slashing	Tail: +8, 10ft, 2d10+4 Bludgeoning, Grappled & Restrained (If Medium)	Tail Squeeze: +8, 10ft, 2d10+4 Bludgeoning (If Grappled & Restrained)	Multiattack: Tail, 6 Longsword	Multisqueeze: Tail Squeeze, 6 Longsword (If Grappled & Restrained)	Teleport: 120ft, Teleport",87,18,20,20,18,16,20,18,40
1794,Giant Centipede,Small Beast Unaligned,1/4,,,Wild Element,,"Bite: +4, 1d4+2 Piercing, 3d6 Thunder (CON Save)",6,5,14,12,1,7,3,13,30
1795,Mule,Medium Beast Unaligned,1/8,,Prone,+2 DEX,,"Hooves: +2, 1d4+2 Bludgeoning",5,14,12,13,2,10,5,11,40
1796,Noble,Medium Humanoid Lawful Evil,1/8,,,Memorized One Spell,,"Parry: +2 to AC vs 1 Attack, Reaction	Rapier: +3, 1d8+1 Piercing	Animal Friendship: 30ft, Charmed (WIS Save) (If Beast)",7,11,12,11,12,14,16,15,30
1797,Giant Crab,Medium Beast Unaligned,1/8,,,"Starts Invisibile,Greater Invisible",,"Claw: +3, 1d6+1 Bludgeoning, Grappled",12,13,15,11,1,9,3,15,30
1798,Sarah,Medium Beast Unaligned,1/8,,,"Mirrored,Mirror Image",,"Hooves: +4, 2d4+2 Bludgeoning",11,15,10,13,2,11,7,10,40
1799,Guard,Medium Humanoid Lawful Neutral,1/8,,,Gauntlets of Ogre Power,,"Spear: +6, 1d6+4 Piercing	Thrown Spear: +6, 20ft, 1d6+4 Piercing",7,19,12,12,10,11,10,16,30
1800,Blood Hawk,Small Beast Unaligned,1/8,,,Reliable Damage,,"Beak: +4, 5 Piercing, 3 Piercing (If Crit)",5,6,14,10,3,14,5,12,60
1801,Mickey'sMagicMissile,Small Beast Unaligned,1/8,,,Memorized One Spell,,"Bite: +4, 1d4+2 Piercing, Rat Bite Fever (CON Save)	Magic Missile: 120ft, 3d4+3 Force",10,7,15,11,2,10,4,12,30
1802,Guard,Medium Humanoid Lawful Neutral,1/8,,,Gauntlets of Ogre Power,Mastiff,"Spear: +6, 1d6+4 Piercing	Thrown Spear: +6, 20ft, 1d6+4 Piercing",7,19,12,12,10,11,10,16,30
1803,Mickey'sMagicMissile,Small Beast Unaligned,1/8,,,Memorized One Spell,Giant Weasel,"Bite: +4, 1d4+2 Piercing, Rat Bite Fever (CON Save)	Magic Missile: 120ft, 3d4+3 Force",10,7,15,11,2,10,4,12,30
1804,Giant Crab,Medium Beast Unaligned,1/8,,,"Starts Invisibile,Greater Invisible",Poisonous Snake,"Claw: +3, 1d6+1 Bludgeoning, Grappled",12,13,15,11,1,9,3,15,30
1805,Giant Centipede,Small Beast Unaligned,1/4,,,Wild Element,Flying Snake,"Bite: +4, 1d4+2 Piercing, 3d6 Thunder (CON Save)",6,5,14,12,1,7,3,13,30
1806,Giant Crab,Medium Beast Unaligned,1/8,,,"Starts Invisibile,Greater Invisible","Poisonous Snake, Pony","Claw: +3, 1d6+1 Bludgeoning, Grappled",12,13,15,11,1,9,3,15,30
1807,Mickey'sMagicMissile,Small Beast Unaligned,1/8,,,Memorized One Spell,"Giant Weasel, Blood Hawk","Bite: +4, 1d4+2 Piercing, Rat Bite Fever (CON Save)	Magic Missile: 120ft, 3d4+3 Force",10,7,15,11,2,10,4,12,30
1808,Giant Crab,Medium Beast Unaligned,1/8,,,"Starts Invisibile,Greater Invisible,Rat Bite Fever","Poisonous Snake, Pony, Giant Centipede","Claw: +3, 1d6+1 Bludgeoning, Grappled",12,13,15,11,1,9,3,15,30
1809,Blink Dog,Medium Fey Lawful Good,1/4,,,"Die Hard,Relentless",,"Bite: +3, 1d6+1 Piercing	Blink Bite: +3, 1d6+1 Piercing",21,12,17,12,10,13,11,13,40
1810,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage,Level 1",,"Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1811,Skeleton,Medium Undead Lawful Evil,1/4,"Poison,Poisoned,Exhaustion",,Quick Draw,,"Shortsword: +4, 1d6+2 Piercing	Shortbow: +4, 80ft, 1d6+2 Piercing",15,10,14,15,6,8,5,13,30
1812,Bullywug,Medium Humanoid Neutral Evil,1/4,,,Has A Gun,,"Bite: +3, 1d4+1 Bludgeoning	Spear: +3, 1d6+1 Piercing	Spear Throw: +3, 20ft, 1d6+1 Piercing	Multiattack: Bite, Spear	Gun: +3, 60ft, 2d8+2 Piercing",17,12,12,13,7,10,7,15,20
1813,Fighter,Medium Humanoid Chaotic Evil,1/4,,,"Good Stats,Human,FS: Archery,Level 1",,"Shortsword: +5, 1d6+3 Piercing	Heavy Crossbow: +7, 100ft, 1d10+3 Piercing",13,15,16,17,14,14,17,19,30
1814,Giant Lizard,Large Beast Unaligned,1/4,,Fire,Red Half-Dragon,,"Bite: +4, 1d8+2 Piercing	Fire Breath: 60ft, 2d6 Fire (DEX Save)",16,15,12,13,2,10,5,12,30
1815,Dust Mephit,Small Undead Neutral Evil,1/2,"Poison,Poisoned",,"Zombie,Death Burst,Undead Fortitude",,"Claws: +4, 1d4+2 Slashing	Blinding Breath: 15ft, Blinded (CON Save)	Sleep: 90ft, Asleep (WIS Save)",17,5,14,10,9,11,10,12,30
1816,Drow,Medium Humanoid Neutral Evil,1/4,Asleep,Charmed,+2 STR,,"Shortsword: +4, 1d6+2 Piercing	Hand Crossbow: +4, 30ft, 1d6+2 Piercing, Poisoned (CON Save)	Faerie Fire: 60ft, Faerie Fire (WIS Save)",16,12,14,10,11,11,12,15,30
1817,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage",Steam Mephit,"Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1818,Bullywug,Medium Humanoid Neutral Evil,1/4,,,Has A Gun,Giant Crab,"Bite: +3, 1d4+1 Bludgeoning	Spear: +3, 1d6+1 Piercing	Spear Throw: +3, 20ft, 1d6+1 Piercing	Multiattack: Bite, Spear	Gun: +3, 60ft, 2d8+2 Piercing",17,12,12,13,7,10,7,15,20
1819,Blink Dog,Medium Fey Lawful Good,1/4,,,"Die Hard,Relentless",Swarm of Bats,"Bite: +3, 1d6+1 Piercing	Blink Bite: +3, 1d6+1 Piercing",21,12,17,12,10,13,11,13,40
1820,Fighter,Medium Humanoid Chaotic Evil,1/4,,,"Good Stats,Human,Second Wind,FS: Archery,Faerie Fire",Ranger,"Shortsword: +5, 1d6+3 Piercing	Heavy Crossbow: +7, 100ft, 1d10+3 Piercing",13,15,16,17,14,14,17,19,30
1821,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage","Steam Mephit, Skeleton","Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1822,Bullywug,Medium Humanoid Neutral Evil,1/4,,,Has A Gun,"Giant Crab, Giant Lizard","Bite: +3, 1d4+1 Bludgeoning	Spear: +3, 1d6+1 Piercing	Spear Throw: +3, 20ft, 1d6+1 Piercing	Multiattack: Bite, Spear	Gun: +3, 60ft, 2d8+2 Piercing",17,12,12,13,7,10,7,15,20
1823,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage","Steam Mephit, Skeleton, Fighter","Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1824,Warhorse Skeleton,Large Undead Lawful Evil,1/2,"Poison,Poisoned,Exhaustion",,Parrier,,"Hooves: +6, 2d6+4 Bludgeoning	Parry: +2 to AC vs 1 Attack, Reaction",26,18,12,13,2,12,7,13,60
1825,Wererat,Medium Humanoid Lawful Evil,2,,,Crit Master,,"Bite: +4, 1d4+2 Piercing, Wererat Lycanthropy (CON Save, If Humanoid)	Shortsword: +4, 1d6+2 Piercing	Hand Crossbow: +4, 30ft, 1d6+2 Piercing	Multiattack: Bite, Shortsword	Multishot: 30ft, 2 Hand Crossbow",17,10,15,12,11,10,8,12,30
1826,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage","Steam Mephit, Skeleton, Fighter, Bullywug, CR 1/4","Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1827,Rust Monster,Medium Monstrosity Unaligned,1/2,,,Skilled,,"Bite: +3, 1d8+1 Piercing	Antenna: Corrode Armor (DEX Save) (If Metal Armor)",30,13,12,13,2,13,6,14,40
1828,Gray Ooze,Medium Ooze Unaligned,1/2,"Blinded,Charmed,Deafened,Exhaustion,Frightened,Prone","Acid,Cold,Fire",Frenzied,,"Pseudopod: +3, 1d6+1 Bludgeoning, 2d6 Acid & Corrode Armor",19,12,6,16,1,6,2,8,10
1829,Black Bear,Medium Beast Unaligned,1/2,,,Magic Resistant,,"Bite: +4, 1d6+2 Piercing	Claws: +4, 2d4+2 Slashing	Multiattack: Bite, Claws",23,15,10,14,2,12,7,11,40
1830,Warlock,Small Humanoid Chaotic Neutral,1/2,,,"Memorized One Spell,PC Class,Rock Gnome,Fiend Patron,Level 2,Darkmantle Attached,Blinded",,"Club: +1, 1d4-1 Bludgeoning	Dart: +5, 20ft, 1d4+3 Piercing	Eldritch Blast: +4, 120ft, 1d10+2 Force	Poison Spray: 10ft, 1d12 Poison (CON Save)	Protection from Good & Evil: Protection from Good & Evil	Burning Hands: 15ft, 3d6 Fire (DEX Save)	Entangle: 90ft, Entangled (STR Save)	Expeditious Retreat: Expeditious Retreat, Bonus",14,9,16,10,10,9,14,13,25
1831,Giant Wasp,Medium Beast Unaligned,1/2,,,Projectile Catching,,"Sting: +4, 1d6+2 Piercing, 3d6 Poison (CON Save)",20,10,14,10,1,10,3,12,50
1832,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage","Steam Mephit, Skeleton, Fighter, Bullywug, CR 1/4, Sorcerer","Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1833,Giant Wasp,Medium Beast Unaligned,1/2,,,Projectile Catching,Thug,"Sting: +4, 1d6+2 Piercing, 3d6 Poison (CON Save)",20,10,14,10,1,10,3,12,50
1834,Warhorse Skeleton,Large Undead Lawful Evil,1/2,"Poison,Poisoned,Exhaustion",,Parrier,Sahuagin,"Hooves: +6, 2d6+4 Bludgeoning	Parry: +2 to AC vs 1 Attack, Reaction",26,18,12,13,2,12,7,13,60
1835,Black Bear,Medium Beast Unaligned,1/2,,,Magic Resistant,Giant Goat,"Bite: +4, 1d6+2 Piercing	Claws: +4, 2d4+2 Slashing	Multiattack: Bite, Claws",23,15,10,14,2,12,7,11,40
1836,Giant Wasp,Medium Beast Unaligned,1/2,,,Projectile Catching,"Thug, Wererat","Sting: +4, 1d6+2 Piercing, 3d6 Poison (CON Save)",20,10,14,10,1,10,3,12,50
1837,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage","Steam Mephit, Skeleton, Fighter, Bullywug, CR 1/4, Sorcerer, Warlock","Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1838,Barbarian,Medium Humanoid Lawful Neutral,1/4,,,"+2 CON,Tiefling,Rage","Steam Mephit, Skeleton, Fighter, Bullywug, CR 1/4, Sorcerer, Warlock, Warhorse Skeleton","Shortsword: +5, 1d6+5 Piercing	Blowgun: +4, 25ft, 3 Piercing",15,16,15,16,13,12,12,19,30
1839,Brown Bear,Large Beast Unaligned,1,,,True Sight,,"Bite: +6, 1d8+4 Piercing	Claws: +6, 2d6+4 Slashing	Multiattack: Bite, Claws",34,19,10,16,2,13,7,11,40
1840,Monk,Medium Humanoid Neutral Good,1,,,"Memorized One Spell,Half-Elf,Martial Arts,Unarmored Movement,Deflect Missiles,Way of the Open Hand,Level 3",,"Quarterstaff: +4, 1d8+2 Bludgeoning	Dart: +4, 20ft, 1d4+2 Piercing	Unarmed Strike: +4, 1d4+2 Bludgeoning	Flurry Strike: +4, 1d4+2 Bludgeoning, Prone (DEX Save)	Ray of Enfeeblement: +4, 60ft, Enfeedbled",21,14,15,11,9,15,15,14,40
